Year,Month,Sum of SalesVolume YoY% 2,Sum of SalesVolume
2015,July,"14,18%",16883
2015,August,"-3,60%",15079
2015,September,"6,62%",14815
2015,October,"7,15%",16646
2015,November,"11,34%",14565
2015,December,"7,24%",14849
2016,January,"9,69%",11205
2016,February,"9,70%",12056
2016,March,"56,77%",20292
2016,April,"-21,77%",9160
2016,May,"-31,61%",9763
2016,June,"-26,47%",11157
2016,July,"-21,87%",13191
2016,August,"-12,48%",13197
2016,September,"-15,95%",12452
2016,October,"-30,60%",11552
2016,November,"-100,00%",0
2016,December,"-100,00%",0
